Text,Cluster,Total
energy crisis warming emissions greenhouse gas effects issue problem co2 contributors warming operation fossil energy generation co2 paper use land energy power plant impact operation energy power plants co2 emissions power plants capacity construction energy plants area times land requirement power plants land clearing energy power plants loss land absorption emissions power use plantation land co2 emissions operation clearing land tonsyear construction power plant capacity use plantation land construction energy power plant impact co2 emissions construction operation power plants nur priambodo,3,76
energy component regions growth india worlds coal reserves energy generation power plants source power country performance coals coals indonesian coals ash moisture content percent country electricity need coal power consequences production co2 greenhouse gases air pollution sox nox coal sludge coal dust byproducts coal combustion work effect coal types particle sizes furnace temperatures ignition delay time coal particle study ignition delay time coals is2 is3 coals ias1 ias2 coal sa1 particle sizes furnace temperature oxygen concentrations gas ignition delay analysis coal mixtures coals mixtures analysis ignition delay time matlab results ignition delay time coal particles decrease furnace temperature increase particle size results coals ignition delay time coals ignition characteristics coals ones increase oxygen concentration ignition delay time coals,3,76
waste type waste bakung landfill bandar lampung settlements landfill recycling treatment study potential biogas generation greenhouse gases ghg emission reduction rate generation waste composition characteristics bandar lampung city method sample analysis procedure work sni data results sampling measurement generation rate kgpersonday scraps fruit scraps food scraps solids utilization biogas crusher water ratio water estimation production data bandar lampung city ch4year lpg biogas co2eqyear ghg emissions licence iop publishing ltd,3,76
energy indication productivity usage development context energy diversity renewables development nations study impact energy development economies eagles procedure study group regressionpanel ardl results growthconservation theory wealth creation fuels energy sources association energy production consumption development eagle countries sample association run analysis country results run association energy consumption development bangladesh india indonesia mexico philippines production countries results brazil indonesia mexico russia result study policy makers countries use energy production importance contribution development countries countries relationship economy resources oil gas countries relationship number problems energy consumption production study attention policy makers countries impact energy development energy transition protection reduction greenhouse gases authors licence springerverlag gmbh germany nature,3,76
biomass residue focus areas energy indonesia government regulation year energy development assessment resources way availability distribution target biofuel energy supply paper method energy production biomass residue consideration development data field observations availability residue energy potential biomass residue value parameters residue product ratio moisture content heating value works literature power potential scenarios conversion factor efficiency results methods biomass residue production agriculture forest residue tonnes energy potential energy consumption potential sustainability biomass residue supply utilization factor areas government regulation policy greenhouse emission landuse change conversion technology residue valorization context organizing challenges barriers collaboration synergy policymakers entrepreneurs academics community sustainability energy production future evaluation analysis framework quality quantity production,3,76
commitment ndc indonesia ghg emission bau level economics mitigation policies economy level study impact emission mitigation policies economy equilibrium cge simulation result implementation mitigation technology gdp loss bau level gdp agriculture sector shock emission mitigation policies bau level energy sector sector gdp action bau level utilization energies power generation dominance fossil fuel sources policy recommendations simulation results government efficiency fuels coal gas process infrastructure energy utilization terms employment government sectors labor sector thing impact midterm period government mitigation policies government expenditure technologies policies authors licence nature,3,76
transportation sector contributors emissions indonesia government greenhouse gas ghg emissions goal government energy energy mix production motorcycles cars vehicle technology electricity efficiency drive dependency fossil fuel mobility sector challenges technology infrastructure readiness market readiness countries evs china norway success market penetration evs adoption factors factors readiness level indonesia stakeholders indonesia sector experts endusers perceptions technology readiness assessment jtra methodology bottleneck technology readiness indonesia results market commercialization parameters readiness levels efforts sectors readiness level indonesia authors,3,76
energy consumption buildings increase greenhouse gas ghg emissions energy consumption buildings energy ventilation lighting equipment buildings contributor electricity consumption ventilation use energy air conditioning indonesia year study application design flats jakarta energy consumption location rawa flats gebang flats objects research building typologies conditions research data transfer value results calculation units transfer wattm2 time transfer wattm2 conclusion design strategy energy consumption building aspect planning stage authors,3,76
palm oil mill effluent pome biogas way ghg emissions benefits area oil palm plantations increase palm oil production generation pome indonesia ghg emissions warming contrast biogas power plants investment indonesia worlds palm oil producer indonesia studies biogas power generation study aspects biogas power generation pome study site bangka island indonesia result biogas plant study site cod levels pome biogas m3month methane content biogas energy kwhmonth operation biogas plant ghg emissions tons co2eqmonth profitability npv idr1281136274 irr payback period years evaluation problem factory palm oil mills anaerobic degradation process study site shift lagoons bioreactors process efficiency benefits authors,3,76
demands fuels indonesia energy energy supply landfill gas lfg component methane ch4 options development study value waste msw energy ch4 emissions bantargebang landfill jakarta power generation capacity wastetoenergy wte plant modeling article production electricity income sale market projects impact assessment benefits terms aspects ch4 landfill electricity generation electricity charge millionyear 8kw co2 mitigation mtyear income power sale year 107us year ch4 power generation modeling study bantargebang landfill lfg extraction data lfg production msw lfg electricity respect implications study revenue cost landfills operations maintenance incentive design operations work diversification energy protection standard people plant,3,76
power fuels coal oil gas create greenhouse gas climate change government emissions co2 emissions power plants sources energy reactors smrs kind power plant potential indonesias power plant size capacity design characteristics purpose study economics feasibility smrs analysis cost electricity method technology readiness level trl approach smrs trl value carem25 trl7 klt40s trl8 htrpm results research carem25 klt40s demonstration stage market estimates discount rate carem economy scale carem25 size klt40s htrpm economy scale discount rates values htrpm carem range usd usd kwh power plants figures lcoe indonesia lcoe variety types power plants authors,3,76
dependence fuels despite expansion energy initiatives fossil fuels earths crust contributors greenhouse gasses greenhouse gas studies area studies greenhouse gas field study carbon emission factors indonesias field panel data analysis influence oil gas production energy usage greenhouse gas emissions data fields fields results energy usage oil gas production greenhouse gas emissions pattern energy efficiency oil gas production production stability greenhouse gas study decarbonization approach processes netzero carbon emissions research carbon mitigation pattern petroleum fields authors mdpi basel switzerland,3,76
indonesia commitment greenhouse gas emissions portion energy electricity system wind energy potential island sulawesi penetration wind power plant wpp stability system study level wpp penetration stability analysis unit commitment procedure determination procedures power factory environments weekday weekend load condition results penetration level weekday weekend load condition condition nadir frequency generator trip system ieee,3,76
fight climate change utilization energy resources country world emissions greenhouse gases countries resources solutions use energy damage environment data countries countries hic group countries group energy utilization groups factors energy capacity labor force energy consumption input factors co2 emission product output factors factors efficiency scores country output model data analysis grey prediction model values input output factors year efficiency scores hics nics combination prediction output model paper method data outputs results united kingdom germany france united states efficiency group efficiency score russia score lowefficiency score future group indonesia efficiency year nics lowefficiency scores turkey rank study strategies utilization energy resources improvements structure use regulation tax incentives exemptions power producers energy production partnerships organizations assistance energies energy sectors research development activities plans development energy considerations impact country authors,3,76
energy indonesia biomass gasification technology biomass matter materials research integration gasification system gas engine advantage biomass power plant impact types plants power diesel power plants etc potential impacts life cycle assessment methods research impact assessment electricity production biomass power plant system life cycle assessment cradle indonesia study greenhouse gas ghg emission electricity production fruit bunch palm oil mill co2eq kwh1 gas engine ghg emission contributor life cycle fruit bunch source biomass electricity production power plant system potential ghg emission palm oil production ghg emission authors edp sciences,3,76
purpose coal indonesia fuel costs electricity greenhouse gas emissions hand reliability plant performance paper attempts power plants performance reliability impact coal utilization boiler design baseline factors plant efficiency reliability performance tests procedures segments load scenarios kcalkg coal value use kcalkg coal baseline adjustments test measurements pressure temperature flow bomb calorimeter etc results load plant performance boiler efficiency decrease fans increase capacity conclusion utilization lrc energy boiler licence iop publishing ltd,3,76
indonesia countries greenhouse gas ghg emissions country reliance energy sources sources energy issue indonesia country contributor co2 emissions country sources energy sources potential energy country energy targets supply energy electricity consumption government homeowners rooftop prosumers energy evaluation report progress energy goals study survey sample electricity subscribers residents rooftop hope understanding issues factors growth areas study level knowledge awareness energy initiatives homeowners policy tariff areas concern factors countries energy generation consumption indonesias case country set challenges energy generation distribution energy pricing system energy management indonesia market technology adoption community partnerships mix government ownership discussion policy implications suggestions improvements end paper aalborg university press rights,3,76
biodiesel fuel cars years power application turbines boilers etc fuels advantage biofuels source reduction greenhouse gas emissions study possibility biodiesel gas turbine power plant indonesia fuel testing analysis biodiesel factories samples fuel specification gas turbine technologies tello belawan gresik biodiesel requirements fuel specification gas turbine technologies study biodiesel indonesia order fuel specification gas turbines addition issues research pilot project biodiesel gas turbines technologies operation mode life cycle cost analysis licence iop publishing ltd,3,76
study use life cycle assessment greenhouse gas ghg savings coal electricity generation sorghum pellets research models utilization hectares land flores indonesia biomass sorghum cultivation energy content tons pellets ton coal fossil energy ratio pellets production pellets fuel biomass yield tonhayr tons pellets comparison coal system combustion pellets gwh electricity warming impacts tons co2eq reduction ghg emissions results biomass yield tonhayr biomass loss field emissions combustion model sensitivity analysis factors ghg savings production sorghum pellets flores utilization electricity generation reliance fuels climate change mitigation limitations conclusions results scenario study government utilization land bioenergy development indonesia rights,3,76
government republic indonesia energy asphalt production combustion fuels form diesel oil gas fuel gas coal gasification ghg emission biomasses fossil fuels gasification technology gasification biomass air fuel heat carbon dioxide water co2 plants photosynthesis cycle study level warming potential system heat openlca v19 software analysis gatetogate approach scenarios gasification tonne asphalt scope material supply transportation palm kernel shell gasification products evaluation gasification co2 emissions impact analysis interpretation results database traci co2 emission reduction palm kernel shell gasification heat electricity generation equipments zhejiang university press,3,76
smallscale anaerobic digestion wastes contributions climate mitigation energy security cycling agrifood systems sustainability smallscale anaerobic digestion lack capacity biogas fuel results biomethane atmosphere climate change policy support manure management bali indonesia installation digesters cattle breeding units digesters biomethane atmosphere waste lack means fuel energy cattle farms access electricity paper performance biominigen system electricity generation smallscale biogas production system biogas desulfurizing system twostroke cylinder engine generator co2 removal unit lifecycle assessment bioelectricity biominigen footprint grid electricity impact categories warming burden avoidance biogas venting tradeoffs depletion burden manufacture generators fiveyear lifetime unit kwh electricity co2 greenhouse gas abatement value us13023 bali mwh yr1 bioelectricity co2 pilot trials biogas yields digesters bioenergy generation manure management biominigen technology contribution energy security people access electricity authors,3,76
design energy power plants offering fossil fuels goal consideration improvement microhydro types energy decrease greenhouse gas emissions study investigation microhydro potential locations power plant kupangindonesia design head water discharge microhydro system water discharge fromoutlet condenser steam turbine microhydro water mhpp weaknesses characteristic corrosion systems operation feasibility overview issues sediment problem instability grid water availability grid cost construction study turbine type water discharge m3s meter consideration microhydro scenario minimum diameter penstock pipe outlet steam turbine place configuration turbine design diameter turbine total turbine blades electricity literature study calculation simulations designs emission gas power consumption power plants cost production ieee,3,76
energy resources activities transportation electricity fossil sources oil gas coal fossil resources time time impact price increases resources effects emissions greenhouse gases fossils resources indonesia source materials production fuels substitute fossils research phytoplankton microalgae alternative energy sources research teluk kupang habitat algae life purpose study data existence types algae energy source research method observation laboratory testing types algae teluk kupang results types microalgae species nitzschia thallassiosira cell compositions form cellulose glucan oils triglycerides potential manufacture fuels chemicals licence iop publishing ltd,3,76
energy sources fossil energy fossil energy power plant contributors greenhouse gas cause warming supply fossil energy year availability energy nre sources problems moment types nre water energy geothermal bioenergy utilization capacity nre type nonfossil energy source nres fossil energy sources potential wind energy indonesia areas potential pltb wind speed seconds energy kwhm kwhm operation exhaust emissions wind power plants form sulfur dioxide nitrogen oxides pollutants power plants fuels addition carbon dioxide emissions wind power plants fuels development electricity wind power prospects regions indonesia licence iop publishing ltd,3,76
climate change peoples declaration development goals nexus climate change land use energy water clew attention country southeast asia indonesia impact climate change impact climate change government indonesia goi greenhouse gas ghg emissions paris agreement plans energy sector power plants fuels goi target energy energy mix minimum resources condition longterm planning impact clew nexus power generation paper generation expansion gep method clew indonesia systematic literature review slr methodology research review system dynamics method solutions generation expansion planning problems clew nexus ieee,3,76
development energy attempt energy diversification energy sustainability greenhouse gas emissions wind power plant wpp location selection output values multicriteria selection process velocity climate condition road access impact land use land tilt condition distance areas etc study software multicriteria technology hierarchy process fuzzyahp wpp location suitability method fuzzyahp criteria location wpp accuracy criteria locations tanah laut regency south kalimantan indonesia research sites studies fuzzyahp locations tim pengembang jurnal upi,3,76
attempt palm oil consumption indonesia use cent b20 policy governments efforts oil dependency energy use greenhouse gas emissions policy implementation water food availability demand crops years quantity water energy food resources development agenda demand resources strain preservation management hand planning management resources systems issue balance resources needs relationship resources system approach integration waterenergyfood wef nexus system study tradeoffs wef nexus production utilization biofuel purpose system dynamics model form causal loop diagram structure development indonesia wef nexus model factors development policy balance water food resources acm,3,76
sustainability reality budgets resources range carbon emission reduction climate change study feasibility types photovoltaic energy systems building structure solar building structure farm structure climate regions tools life cycle assessment lca life cycle cost assessment framework case study regions thailand indonesia shortterm future scenario proxy technology data locations scenario impacts output scope study cradletograve cost energy performance degradation rate shading issues largescale installations despite land use impact co2 emissions time regard energy mix country need procurement carbon investment return regards systems types installation rate payback spb time years power system energy payback years photovoltaic technology system degradation rate period time benefits investors environment technologies rate order gap energy business plan life cycle assessment tool impact energy authors mdpi basel switzerland,3,76
greenhouse gas emissions hand hand fossil energy consumption use fossil energy years biogas energy biomass greenhouse gas emissions generation waste materials content substrates biogas production rice husk material biogas substrate indonesia utilization scale operation review article potential rice husks substrates prospects implementation characteristics influence factors biogas production research biogas production obstacles authors edp sciences,3,76
transportation sector nations consumer petroleum products source greenhouse gas ghg emissions policies governments introduction fuels demand management policy results cases paper system dynamics model road transportation sector indonesia model policy options activity structure intensity fuel asif framework objectives reduction energy consumption co2 emission policy scenarios business ref transport demand management tdm introduction fuel economy standard system fee adoption vehicles improvement factors fuel switching strategy result policy mix strategy energy consumption co2 emission energy mix target licence iop publishing ltd,3,76
indonesias electricity demand growth urbanization industrialization energyefficiency improvements countrys electricity demand savings greenhouse gas reductions energy security energy efficiency peak electricity demand risk power shortages funds power plant construction bottomup modeling approach potential energy efficiency indonesias electricity demand load curve model loadm electricity demand end useas bottomup energy analysis system buenaswith demand profiles indonesias peak demand case air conditioning contributions lighting refrigerators appliance lighting efficiency improvements peak demand increase factor peak demand results wellunderstood programs efficiency performance standards indonesia tens billions dollars capital costs decade half authors,3,76
economy growth course decades late pace expansion yield instability inflation sort capital energy consequences growth energy consumption wellspring greenhouse gas emissions issues connections energy variables consideration capital co2 emissions indonesia neighbour australia exchange ties indonesia effect types capita gdp growth information world development indicator world bank database examination technique vector error correction model tests order relationship variables unit root test cointegration granger causality outcomes consumption energy carbon emissions impact gdp capita meantime development effect co2 emissions indonesia econjournals rights,3,76
plasma gasification method technology hydrogen msw fuel power generation issue waste population indonesia goal waste management material recovery energy recovery environment plasma gasification modeling plasma torch technology syngas composition energy potential process simulation steam air agent study parameter content syngas plant efficiency co2 emission environment greenhouse gases ghg result ratio steam air mass flow rate kgs steam mass flow rate kgs fraction syngas yield nm3 carbon conversion efficiency gasification efficiency co2 emission kgs licence iop publishing ltd,3,76
today world warming issues rise carbon dioxide greenhouse concentration atmosphere causes increase greenhouse gases meters gas indonesia archipelago nation equator warming impacts impacts degradation health implications effects study power plant configuration plant gas fuel energy gas energy power plant plant configurations thermoflow results configurations cycle concept gas turbine steam turbine difference configurations configuration heat recovery steam generator whilst configuration heat exchangers gas turbine cycle results configuration power 40948mw whilst configuration authors,3,76
demand energy sources importance terms greenhouse gas emissions setting indonesia world energy resources power market capacity united states effort output resource understanding evaluation reservoirs evolution area spots lithocolumn factors producibility field measurements borehole imaging tools characteristics patterns lithocolumn zones reservoir sections workflow borehole applications characterization sections results zones properties spots framework wells field factors contribution zone continuity reservoirs regard evolution area assessment identification borehole microresistivity images morphology classification fractures types interest strike direction sets values resistivity imaging mean stress study area direction features properties fractures steam production work insight factors properties fractures steam gas reservoir production characteristics properties geometry relation evolution framework area infill wells recovery sources energy copyright spwla symposium rights,3,76
indicators improvement energy efficiency consumption energy indonesia increase energy efficiency terms energy consumption fossil fuel energy consumption ghg emission energy resources power generation oil paper solution energy efficiency measurement dea technique study energy efficiency rupiah grdp people energy indonesia energy efficiency key import dependency support economy costs consumers research dea charnes cooper ccr model efficiency scores pln indonesia period result consumption energy rupiah grdp provinces jawa bali sumatra papua maluku nusa tenggara energy kalimantan sulawesi study fossil fuel energy consumption ghg emissions performance pln future energy assessment indonesia licence iop publishing ltd,3,76
availability fuels exploration onshore technology cost fuels fact particulars fishermen fuel poverty survey fishing boats income fishermen addition use fossil fuels increase green house gas ghg effects use paper development catamaran fishing vessel contribution fishermen work design catamaran fishing catfish vessel diesel engine whilst design use combination diesel engine use power discussion explanation arrangement ship stability characteristics energy index use power system item matter imo organization regulation order ghg effect review development concept consideration investment cost boat diesel vessel cost use apac 2013all rights,3,76
warming standout issues emission greenhouse gases example carbon dioxide consuming fuels emissions carbon dioxide fluctuate nations asia nations utilization energy resources component activities change paper survey energy request situation malaysia indonesia energy resources energy development malaysia malaysia consumption energy reliance fossil fuels electricity generation paper elements electricity consumption malaysia examination longhaul relationship growth co2 emanations investment fdi transparency period lag ardl cointegration approach development fdi drivers rec exchange transparency effect rec haul impact co2 outflows rec addition vector error correction model vecm granger causality test presence causality relationship gdp legitimacy conservation hypothesis malaysia policy suggestions policymakers energy generation energy creation sources econjournals rights,3,76
sumbawa potential city energy source energy country indonesia sumbawas season months intensity wattm2h energy resource area level abundance pollution attribute factors energy resource calculation energy energy panel photovoltaic greenhouse gases energy electricity cost cells popularization energy source substance materials panel impact environment study potential panels source lighting cost impact discussion chemical method cost equipment instalment work recommendation methods production cost panel licence iop publishing ltd,3,76
indonesia greenhouse gas ghg emissions reduction industry contributors ghg emissions industry mining industry energy consumption strategies mining performance aim paper ghg emission reduction mining project energy reduction initiatives copper indonesia processing plant capacity haul truck case study site sources electricity power plant output diesel power plant output analysis method co2 emission ipcc method fuel consumption emission factor variables ghg emissions business scenario tier average diesel fuel consumption fleets operation co2eqy power plant coal consumption tdunit co2eqy diesel power plant co2eqy energy initiative programs fuel conversion oil utilisation program initiative scenario reusing fuels coal diesel fuel oil scenario carbon emission reduction co2eq involvement mining industry carbon emission reduction indonesia ghg emissions reduction target site performance company image copyright servizi srl,3,76
paper energy audit oil gas production facility indonesia case study field east kalimantan energy audit order rate efficiency energy intensity oil gas production facility data baseline room improvement efficiency calculation efficiency energy intensity equipments fuel gas generators turbo compressors data calculation calculation results generator efficiency generator load power efficiency load power increases efficiency process variables gas volume energy intensity calculation result value greenhouse gas emission study improvements efficiency energy intensity generator compressor use energy resources power requirement nonprocess facilities site authors edp sciences,3,76
area oil palm plantations indonesia producer palm oil world potential source biomass waste fruit bunches biomass waste energy source coal petroleum gases supply energy sources utilization waste conversion process pyrolysis conversion process emissions impact environment emissions process form greenhouse gas emissions air gases study impact emissions life cycle assessment lca method study impact use fruit bunches help software stages lca goals scope life cycle inventory life cycle impact assessment data interpretation value magnitude impact results utilization fruit bunches pyrolysis impacts so2eq causes acidification po4eq causes eutrophication co2eq warming gwp100a c2h4eq oxidation authors,3,76
paper life cycle assessment lca sugar cane production ngadirejo sugar cane cultivation transportation sugar objective study areas warning impacts life cycle energy consumption life cycle mjton sugar consumption coal energy usage contribution co2 emission contributor sugar processing ghg emission ton co2ton sugar use fuels ton co2ton sugar cultivation fertilizer manufacture impact tons co2ton sugar pesticide manufacture mechanization emission reduction bagasse fuels sugar production tons co2eqton sugar co2ton sugar emissions options performance improvement sugarcane use fertilizers pesticides concentration sugar mills cogeneration project implementation licence iop publishing ltd,3,76
fossil fuel energy usage greenhouse emissions way electricity energy sources way electricity intermittency nature energy sources energy production energy storage concepts power gas conversion way electricity paper concept power gas energy storage system looping combustion power generation base load power electricity grid case indonesia process integration order heat exergy recovery results simulation aspen plus v88 power intake oxide electrolysis system hydrogen power generation efficiency parameters system systems efficiency design parameters authors ltd access article byncnd license httpcreativecommonsorglicensesbyncnd40 peerreview responsibility committee icae2018 conference energy,3,76
government indonesia use energy electricity supply use energy greenhouse gas emissions electricity transmission distribution network grid consumers energy sources hydro power plant mhpp capacity areas load center distances voltage power losses power distribution system connection energy plants impact electricity system connection voltage drop range maximum minimum voltage power losses circuit current connection approach decisions connection point decision connection location contrary decision bontosalama mhpp sinjai substation investment limitations sinjai system wydawnictwo sigmanot rights,3,76
indonesia tonyear cpo cpo production impact waste palm oil mill effluent fruit bunches efb ton pome tons efb year anaerobic pond treatment cod bod content emits co2 ch4 greenhouse gasses environment pome content cod mgl mgl potential biogas production ratio pome ratio biogas production digester ratio efb pome biogas production effluent digester nutrients nitrogen phosphor kalium plant microalgae growth experiment types reactor room condition anaerobic sludge blanket reactor 15l tube reactors ethylene plastic efb pome biogas production results efb composition biogas formation result conversion factor volume base mixture pome efb biogas range conversion ratio pome efb result ratio pome efb volume biogas methane content research increase biomass production spirulina biogas biomass medium biogas medium biogas increase utilization co2 content biogas carbon source spirulina iop ltd rights,3,76
research dea method data analysis crosscountry analysis efficiency government support coal production countries producers coal oecd countries economies usa germany australia brics countries economies markets china india russia south africa indonesia producer coal southeast asia version dea method technicalities price efficiency budget support gas production countries data model volume support oil producers transfers tax expenditures oecd base results efficiency state support coal production russia industry generation emission greenhouse gases accordance obligations russia problem goal government funding coal projects coal projects sphere credit export agencies development banks state banks econjournals rights,3,76
growth sectors greenhouse producer indonesian ministry industry data sectors energy consumption share energy consumption energy needs growth population rise problem development standards energy management system sector apac inti corpora aic textile company bawen semarang indonesia aic iso energy management system companys service quality benefit study success factors application iso aic companies energy management system success factor area form indicators success organizations performance data processing improvement strategy points importance weights ahp method performance values performance rating subfactor method improvement strategies companys conditions strategy points licence iop publishing ltd,3,76
countries japan taiwan use lamps motion sensors indonesia experiment installation motion sensors electricity bill increase energy efficiency abundance availability energy factor energy consumption habits electricity demand consumption supply level indonesia cost electricity bills factor fact generators indonesia fuels generation cost ubl universities campus research possibility motion sensors energy efficiency countries use motion sensors energy efficiency indonesia despite cost supply shortages buildings energy consumption experiment installation motion sensors electricity bill increase energy efficiency efforts energy demand consumer electricity lights room use method switches office classrooms spaces toilets corridors light switches sample toilet rooms electricity consumption lamps reduction energy greenhouse gas emission reduction authors mdpi basel switzerland,3,76
