% of total 'Counts' by 'Word',,
,,
,Word,Sum of Counts
,successively,0.02%
,terms,0.02%
,suddenly,0.02%
,terrain,0.02%
,suffers,0.02%
,territory,0.02%
,sufficient,0.02%
,test,0.02%
,sufficiently,0.02%
,teu,0.02%
,sugar,0.02%
,texture,0.02%
,sugarcane,0.02%
,tfc,0.02%
,suggestion,0.02%
,thailand,0.02%
,suggestions,0.02%
,them,0.02%
,suitability,0.02%
,themselves,0.02%
,suitable,0.02%
,theoretical,0.02%
,sulawesi,0.02%
,thereafter,0.02%
,sulfates,0.02%
,thermal,0.02%
,sulfur,0.02%
,thermochemical,0.02%
,sulphur,0.02%
,thermodynamics,0.02%
,sumatra,0.02%
,they,0.02%
,sumatran,0.02%
,thin,0.02%
,sumba,0.02%
,things,0.02%
,sumbawa,0.02%
,thirds,0.02%
,summer,0.02%
,thirty,0.02%
,sums,0.02%
,thoroughly,0.02%
,sunda,0.02%
,thoughts,0.02%
,sunflower,0.02%
,thousands,0.02%
,super,0.02%
,threats,0.02%
,superior,0.02%
,threshold,0.02%
,superstructure,0.02%
,thru,0.02%
,supplementary,0.02%
,tidal,0.02%
,supplier,0.02%
,tidp,0.02%
,supplies,0.02%
,ties,0.02%
,supposedly,0.02%
,tight,0.02%
,suppression,0.02%
,tillage,0.02%
,supriyanto,0.02%
,tilt,0.02%
,surabaya,0.02%
,timber,0.02%
,surakarta,0.02%
,timespan,0.02%
,surface,0.02%
,timor,0.02%
,surfaces,0.02%
,tissue,0.02%
,surplus,0.02%
,tmailc,0.02%
,surpluses,0.02%
,tofu,0.02%
,surroundings,0.02%
,toilet,0.02%
,surveillance,0.02%
,tolerance,0.02%
,survey,0.02%
,tonne,0.02%
,surveys,0.02%
,too,0.02%
,survival,0.02%
,tools,0.02%
,susceptible,0.02%
,topics,0.02%
,sustainably,0.02%
,topography,0.02%
,swails,0.02%
,torch,0.02%
,swamp,0.02%
,totale,0.02%
,swamps,0.02%
,toward,0.02%
,swat,0.02%
,towers,0.02%
,swath,0.02%
,toxicity,0.02%
,swedish,0.02%
,tra,0.02%
,sweet,0.02%
,traceability,0.02%
,swir,0.02%
,spots,0.02%
,switches,0.02%
,simultaneously,0.02%
,sfm,0.02%
,southwest,0.02%
,restriction,0.02%
,shortly,0.02%
,restructure,0.02%
,smallest,0.02%
,retail,0.02%
,seriousness,0.02%
,retailer,0.02%
,shell,0.02%
,retention,0.02%
,silica,0.02%
,retscreen,0.02%
,skewness,0.02%
,reusable,0.02%
,soils,0.02%
,revegetation,0.02%
,special,0.02%
,revenue,0.02%
,seven,0.02%
,revenues,0.02%
,shares,0.02%
,reversible,0.02%
,ships,0.02%
,review,0.02%
,siberia,0.02%
,reviews,0.02%
,simpari,0.02%
,revolution,0.02%
,situations,0.02%
,rhizobium,0.02%
,slope,0.02%
,rhizoryzae,0.02%
,soc,0.02%
,rica,0.02%
,sorbents,0.02%
,rich,0.02%
,spad,0.02%
,richness,0.02%
,spesific,0.02%
,right,0.02%
,services,0.02%
,rigid,0.02%
,severe,0.02%
,rigorous,0.02%
,shadow,0.02%
,rio,0.02%
,sheep,0.02%
,riproduzione,0.02%
,shikoku,0.02%
,risk,0.02%
,short,0.02%
,risks,0.02%
,shrubs,0.02%
,river,0.02%
,sigmoidal,0.02%
,rivers,0.02%
,simapro,0.02%
,rizaludin,0.02%
,simulation,0.02%
,rkd,0.02%
,sites,0.02%
,road,0.02%
,sixth,0.02%
,roadmap,0.02%
,skov,0.02%
,roads,0.02%
,sludge,0.02%
,robust,0.02%
,smes,0.02%
,robusta,0.02%
,society,0.02%
,rock,0.02%
,solutions,0.02%
,roles,0.02%
,southeast,0.02%
,romanian,0.02%
,soybean,0.02%
,roof,0.02%
,spatial,0.02%
,roofs,0.02%
,specifications,0.02%
,room,0.02%
,sport,0.02%
,rooms,0.02%
,sersc,0.02%
,root,0.02%
,settings,0.02%
,roots,0.02%
,seventh,0.02%
,roster,0.02%
,severity,0.02%
,rotation,0.02%
,sgnec,0.02%
,rotations,0.02%
,shallot,0.02%
,rotterdam,0.02%
,sharply,0.02%
,roughly,0.02%
,sheets,0.02%
,roundtable,0.02%
,shift,0.02%
,route,0.02%
,ship,0.02%
,routes,0.02%
,shopping,0.02%
,royal,0.02%
,shortages,0.02%
,rpjmn,0.02%
,shrinkage,0.02%
,rpm,0.02%
,sia,0.02%
,rrna,0.02%
,side,0.02%
,rspo,0.02%
,significance,0.02%
,rubber,0.02%
,silty,0.02%
,rule,0.02%
,similarities,0.02%
,rules,0.02%
,simply,0.02%
,rumah,0.02%
,simulator,0.02%
,ruminant,0.02%
,single,0.02%
,ruminants,0.02%
,situation,0.02%
,runoff,0.02%
,six,0.02%
,rupiah,0.02%
,sizeable,0.02%
,rupiahs,0.02%
,skill,0.02%
,rural,0.02%
,slight,0.02%
,russia,0.02%
,slower,0.02%
,russian,0.02%
,slurry,0.02%
,safe,0.02%
,smallholders,0.02%
,safety,0.02%
,sni,0.02%
,saffir,0.02%
,socialization,0.02%
,sago,0.02%
,socioeconomic,0.02%
,sahara,0.02%
,solids,0.02%
,saharan,0.02%
,somewhat,0.02%
,saharjo,0.02%
,soulatri,0.02%
,sahel,0.02%
,southerly,0.02%
,salak,0.02%
,sox,0.02%
,salatiga,0.02%
,space,0.02%
,sale,0.02%
,span,0.02%
,salinity,0.02%
,spatiotemporal,0.02%
,salt,0.02%
,specifically,0.02%
,salts,0.02%
,speed,0.02%
,sam,0.02%
,spi,0.02%
,samboja,0.02%
,serious,0.02%
,same,0.02%
,serkap,0.02%
,sampean,0.02%
,service,0.02%
,sample,0.02%
,sets,0.02%
,sampler,0.02%
,settlements,0.02%
,samples,0.02%
,seventeen,0.02%
,sanctions,0.02%
,seventy,0.02%
,sands,0.02%
,severely,0.02%
,sap,0.02%
,seward,0.02%
,satellite,0.02%
,sfs,0.02%
,saturation,0.02%
,shade,0.02%
,saudi,0.02%
,shall,0.02%
,savanna,0.02%
,share,0.02%
,savings,0.02%
,sharp,0.02%
,sawn,0.02%
,sheath,0.02%
,sba,0.02%
,sheet,0.02%
,sbt,0.02%
,shelf,0.02%
,scales,0.02%
,shelter,0.02%
,scarce,0.02%
,shifts,0.02%
,schema,0.02%
,shin,0.02%
,scheme,0.02%
,shipment,0.02%
,schemes,0.02%
,shock,0.02%
,scholar,0.02%
,shorea,0.02%
,scholars,0.02%
,shortage,0.02%
,school,0.02%
,shortest,0.02%
,schools,0.02%
,shrimp,0.02%
,science,0.02%
,shrub,0.02%
,sciences,0.02%
,shutters,0.02%
,scientific,0.02%
,siak,0.02%
,scientifically,0.02%
,sick,0.02%
,scopes,0.02%
,siege,0.02%
,scor,0.02%
,signatories,0.02%
,score,0.02%
,silage,0.02%
,scores,0.02%
,silt,0.02%
,scraps,0.02%
,silvicultural,0.02%
,screen,0.02%
,similar,0.02%
,sdg,0.02%
,similarly,0.02%
,sdgs,0.02%
,simple,0.02%
,sdt,0.02%
,simpson,0.02%
,seamless,0.02%
,simulations,0.02%
,seaports,0.02%
,simultaneous,0.02%
,search,0.02%
,singapore,0.02%
,searches,0.02%
,sinks,0.02%
,season,0.02%
,situ,0.02%
,seasonal,0.02%
,situational,0.02%
,seasons,0.02%
,situbondo,0.02%
,seaward,0.02%
,sixteen,0.02%
,seawater,0.02%
,size,0.02%
,second,0.02%
,sizes,0.02%
,secondary,0.02%
,skid,0.02%
,seconds,0.02%
,skilled,0.02%
,secretariat,0.02%
,slag,0.02%
,section,0.02%
,slightly,0.02%
,sectional,0.02%
,slow,0.02%
,sections,0.02%
,slowly,0.02%
,sectoral,0.02%
,sluggish,0.02%
,security,0.02%
,smaller,0.02%
,sediment,0.02%
,smallholder,0.02%
,sediments,0.02%
,smart,0.02%
,seedlings,0.02%
,smrs,0.02%
,seemingly,0.02%
,snowy,0.02%
,seep,0.02%
,social,0.02%
,segment,0.02%
,societies,0.02%
,segments,0.02%
,socio,0.02%
,seismic,0.02%
,software,0.02%
,seismically,0.02%
,solid,0.02%
,select,0.02%
,solution,0.02%
,selection,0.02%
,sometimes,0.02%
,self,0.02%
,sons,0.02%
,sem,0.02%
,sorghum,0.02%
,semarang,0.02%
,south,0.02%
,semi,0.02%
,southeastern,0.02%
,semiconductor,0.02%
,southern,0.02%
,sems,0.02%
,sovereignty,0.02%
,senegalense,0.02%
,soy,0.02%
,sense,0.02%
,soybeans,0.02%
,sensitive,0.02%
,spaces,0.02%
,sensitivity,0.02%
,spain,0.02%
,sensor,0.02%
,spanish,0.02%
,sensors,0.02%
,spatially,0.02%
,sentiment,0.02%
,spb,0.02%
,separation,0.02%
,specific,0.02%
,sepicanus,0.02%
,specification,0.02%
,septic,0.02%
,spectral,0.02%
,sequester,0.02%
,spells,0.02%
,sequestration,0.02%
,sphere,0.02%
,serang,0.02%
,spirulina,0.02%
,serial,0.02%
,rest,0.02%
,series,0.02%
,ref,0.02%
,rail,0.02%
,requirement,0.02%
,popularization,0.02%
,reactivity,0.02%
,population,0.02%
,relationship,0.02%
,populations,0.02%
,quantitative,0.02%
,porong,0.02%
,rape,0.02%
,porosity,0.02%
,recirculation,0.02%
,port,0.02%
,regionally,0.02%
,portion,0.02%
,renewables,0.02%
,portland,0.02%
,resistivity,0.02%
,portlink,0.02%
,questionnaire,0.02%
,position,0.02%
,rainy,0.02%
,positions,0.02%
,rationality,0.02%
,positive,0.02%
,realistic,0.02%
,positively,0.02%
,records,0.02%
,possibilities,0.02%
,refutation,0.02%
,possibility,0.02%
,regulation,0.02%
,possible,0.02%
,reliable,0.02%
,post,0.02%
,reports,0.02%
,postgraduate,0.02%
,residents,0.02%
,potable,0.02%
,response,0.02%
,potato,0.02%
,quarry,0.02%
,potentially,0.02%
,radar,0.02%
,potentials,0.02%
,rainforest,0.02%
,poultry,0.02%
,range,0.02%
,poverty,0.02%
,rates,0.02%
,powder,0.02%
,ray,0.02%
,powerful,0.02%
,readiness,0.02%
,powerplant,0.02%
,reasons,0.02%
,powers,0.02%
,recommendation,0.02%
,prachin,0.02%
,recycle,0.02%
,practicable,0.02%
,reflection,0.02%
,practical,0.02%
,regency,0.02%
,practitioners,0.02%
,regressive,0.02%
,precedents,0.02%
,rehabilitation,0.02%
,precipice,0.02%
,relatives,0.02%
,precipitation,0.02%
,remedial,0.02%
,precise,0.02%
,replacement,0.02%
,precisely,0.02%
,republic,0.02%
,precision,0.02%
,reserves,0.02%
,precursor,0.02%
,resilience,0.02%
,prediction,0.02%
,respective,0.02%
,predictions,0.02%
,responsible,0.02%
,predictive,0.02%
,quantities,0.02%
,predictor,0.02%
,quarters,0.02%
,predominantly,0.02%
,quick,0.02%
,predominately,0.02%
,radius,0.02%
,preferences,0.02%
,rain,0.02%
,preliminary,0.02%
,rains,0.02%
,preparation,0.02%
,random,0.02%
,presence,0.02%
,rankine,0.02%
,presently,0.02%
,rapidly,0.02%
,presents,0.02%
,ratio,0.02%
,preservation,0.02%
,raw,0.02%
,presidential,0.02%
,reaction,0.02%
,press,0.02%
,reactors,0.02%
,pressure,0.02%
,readymix,0.02%
,pressures,0.02%
,realization,0.02%
,presumably,0.02%
,recently,0.02%
,pretty,0.02%
,recognise,0.02%
,prevalence,0.02%
,reconfiguration,0.02%
,prevalent,0.02%
,recovery,0.02%
,prevention,0.02%
,redistribution,0.02%
,previous,0.02%
,refineries,0.02%
,previously,0.02%
,refrigerators,0.02%
,priambodo,0.02%
,regardless,0.02%
,price,0.02%
,regime,0.02%
,priceless,0.02%
,regression,0.02%
,prices,0.02%
,regular,0.02%
,pricing,0.02%
,regulators,0.02%
,primarily,0.02%
,relation,0.02%
,prince,0.02%
,relative,0.02%
,principal,0.02%
,relevant,0.02%
,principally,0.02%
,remarkable,0.02%
,principle,0.02%
,removals,0.02%
,principles,0.02%
,repair,0.02%
,prior,0.02%
,replications,0.02%
,priorities,0.02%
,representative,0.02%
,priority,0.02%
,request,0.02%
,pristine,0.02%
,researcher,0.02%
,private,0.02%
,reservoirs,0.02%
,privilege,0.02%
,residue,0.02%
,pro,0.02%
,resin,0.02%
,probability,0.02%
,resource,0.02%
,probably,0.02%
,respiratory,0.02%
,problem,0.02%
,responsibilities,0.02%
,problematic,0.02%
,quantifies,0.02%
,problems,0.02%
,quantitatively,0.02%
,procedure,0.02%
,quantity,0.02%
,procedures,0.02%
,quarter,0.02%
,processes,0.02%
,question,0.02%
,procurement,0.02%
,questionnaires,0.02%
,producer,0.02%
,quite,0.02%
,producers,0.02%
,radiation,0.02%
,producibility,0.02%
,raikoke,0.02%
,productive,0.02%
,rails,0.02%
,productivity,0.02%
,rainfall,0.02%
,professor,0.02%
,rainforests,0.02%
,profile,0.02%
,rainwater,0.02%
,profiles,0.02%
,ramadan,0.02%
,profit,0.02%
,randomly,0.02%
,profitability,0.02%
,rank,0.02%
,profitable,0.02%
,ranomahera,0.02%
,profitably,0.02%
,rapid,0.02%
,profits,0.02%
,rare,0.02%
,profound,0.02%
,rather,0.02%
,program,0.02%
,rational,0.02%
,programme,0.02%
,ratios,0.02%
,programmes,0.02%
,rawa,0.02%
,programming,0.02%
,raya,0.02%
,programs,0.02%
,reactions,0.02%
,progress,0.02%
,reactor,0.02%
,progressively,0.02%
,readily,0.02%
,projection,0.02%
,ready,0.02%
,projections,0.02%
,real,0.02%
,projects,0.02%
,reality,0.02%
,proklim,0.02%
,reason,0.02%
,prolongation,0.02%
,recent,0.02%
,prominent,0.02%
,recipe,0.02%
,promoter,0.02%
,reclamation,0.02%
,promotes,0.02%
,recognizes,0.02%
,prone,0.02%
,recommendations,0.02%
,proof,0.02%
,record,0.02%
,proper,0.02%
,recover,0.02%
,properly,0.02%
,recreational,0.02%
,properties,0.02%
,red,0.02%
,property,0.02%
,reductions,0.02%
,proponents,0.02%
,reference,0.02%
,proportion,0.02%
,refinery,0.02%
,proportionally,0.02%
,reforestation,0.02%
,proposition,0.02%
,refugia,0.02%
,pros,0.02%
,regard,0.02%
,prospective,0.02%
,regencies,0.02%
,prospects,0.02%
,regents,0.02%
,prosumers,0.02%
,regional,0.02%
,prosym,0.02%
,regions,0.02%
,protection,0.02%
,regressions,0.02%
,providencia,0.02%
,regrowth,0.02%
,providers,0.02%
,regularly,0.02%
,province,0.02%
,regulations,0.02%
,provinces,0.02%
,regulatory,0.02%
,provincial,0.02%
,rejects,0.02%
,provision,0.02%
,relations,0.02%
,provisions,0.02%
,relationships,0.02%
,proxies,0.02%
,relatively,0.02%
,proxy,0.02%
,releases,0.02%
,psf,0.02%
,reliability,0.02%
,psfs,0.02%
,reliance,0.02%
,psychological,0.02%
,remarkably,0.02%
,psychology,0.02%
,removal,0.02%
,public,0.02%
,renders,0.02%
,publication,0.02%
,reorientation,0.02%
,publications,0.02%
,repeatedly,0.02%
,pulo,0.02%
,replicates,0.02%
,pulp,0.02%
,report,0.02%
,pulpwood,0.02%
,representation,0.02%
,puntal,0.02%
,representatives,0.02%
,purchase,0.02%
,reputation,0.02%
,purification,0.02%
,requests,0.02%
,purpose,0.02%
,requirements,0.02%
,purposive,0.02%
,researchers,0.02%
,purposively,0.02%
,reservoir,0.02%
,putra,0.02%
,residential,0.02%
,putri,0.02%
,residual,0.02%
,pvc,0.02%
,residues,0.02%
,pvplanner,0.02%
,resilient,0.02%
,pyrolysis,0.02%
,resistant,0.02%
,pyrometallurgical,0.02%
,resolution,0.02%
,python,0.02%
,respect,0.02%
,qfd,0.02%
,respiration,0.02%
,quadratic,0.02%
,respondents,0.02%
,qualitative,0.02%
,responses,0.02%
,qualsiasi,0.02%
,responsibility,0.02%
,quantificate,0.02%
,poorly,0.02%
,quantification,0.02%
,permission,0.02%
,particles,0.02%
,plots,0.02%
,nms,0.02%
,peats,0.02%
,nmt,0.02%
,photochemical,0.02%
,nmvoc,0.02%
,panicle,0.02%
,noaa,0.02%
,paste,0.02%
,nobody,0.02%
,pepper,0.02%
,nominal,0.02%
,pet,0.02%
,none,0.02%
,pks,0.02%
,nonetheless,0.02%
,polycrystalline,0.02%
,nonfossil,0.02%
,park,0.02%
,noordwijk,0.02%
,partners,0.02%
,nor,0.02%
,patterns,0.02%
,norm,0.02%
,penetration,0.02%
,normal,0.02%
,perfect,0.02%
,normative,0.02%
,perturbations,0.02%
,norms,0.02%
,phenomena,0.02%
,north,0.02%
,physiological,0.02%
,northeast,0.02%
,plans,0.02%
