Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Publisher,Language of Original Document,Document Type,Publication Stage,Open Access,Source,,,,,,,,,,,
Pinto M.; Pereira M.; Raposo D.; Simões M.; Castelo-Branco M.,"Pinto, Marta (57193995350); Pereira, Mário (57210791628); Raposo, Diana (57210805914); Simões, Marco (37063659600); Castelo-Branco, Miguel (57527878600)",57193995350; 57210791628; 57210805914; 37063659600; 57527878600,Artificial Intelligence Gamified AAL Solution,2020,IFMBE Proceedings,76,,,977,982,5,1,10.1007/978-3-030-31635-8_119,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075879999&doi=10.1007%2f978-3-030-31635-8_119&partnerID=40&md5=7a9ad4212555082296b65b734d7a3412,"GameAAL - Gamification Supporting Active and Assisted Living is an innovative system to monitor elderly daily life activities and provide neurocognitive stimulation games. The solution is focused at filling a gap on existing Ambient Assisted Living solutions, promoting social interaction and mobility of end-users using gamification and machine learning techniques. For each goal achieved, the system unlocks a reward providing the user with the chance of winning free admissions in cultural events supplied by community partners. A Proof of Concept of AAL ecosystem and TV interface is ongoing with 26 real end-users, reporting good acceptability and willingness to use the system. © 2020, Springer Nature Switzerland AG.",AAL; ADL; Cognitive training; Gamification; Pattern recognition,Artificial intelligence; Biochemical engineering; Learning systems; Medical computing; Pattern recognition; Ambient assisted living; Cognitive training; Daily life activities; Gamification; Innovative systems; Machine learning techniques; Proof of concept; Social interactions; Assisted living,Springer,English,Conference paper,Final,,Scopus,YES,,tidak disebutkan,,,,,,,,
Bucea-Manea-țoniş R.; Kuleto V.; Gudei S.C.D.; Lianu C.; Lianu C.; Ilić M.P.; Păun D.,"Bucea-Manea-țoniş, Rocsana (57226406533); Kuleto, Valentin (55331174600); Gudei, Simona Corina Dobre (57545435100); Lianu, Costin (57545822500); Lianu, Cosmin (57545435200); Ilić, Milena P. (57221678876); Păun, Dan (57267123800)",57226406533; 55331174600; 57545435100; 57545822500; 57545435200; 57221678876; 57267123800,Artificial Intelligence Potential in Higher Education Institutions Enhanced Learning Environment in Romania and Serbia,2022,Sustainability (Switzerland),14,10,5842,,,,7,10.3390/su14105842,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130542761&doi=10.3390%2fsu14105842&partnerID=40&md5=7b6dfab5016808d954e3ff0c31baf857,"In their struggle to offer a sustainable educational system and transversal competencies for market requests, significant transformations characterise the higher education system in Serbia and Romania. According to EU policy, these transformations are related to educational reforms and the introduction of new technology and methodologies in teaching and learning. They are expected to answer to the PISA requirements and to increase the DESI (Digital Economy and Society Index). They are also likely to mitigate the inequity of HEIs (higher education institutions), empowered by a structured, goal-oriented strategy towards agile management in HEIs that is also appropriate for new market demands. Our study is based on an exploratory survey applied to 139 Romanian and Serbian teachers from the Information Technology School—ITS, Belgrade, and Spiru Haret University, Romania. The survey let them provide their knowledge of AI or their perceptions of the difficulties and opportunities of these technologies in HEIs. Our study discovered how difficulties and opportunities associated with AI impact HEIs. This study aims to see how AI might assist higher education in Romania and Serbia. We also considered how they might be integrated with the educational system, and if instructors would utilise them. Developing creative and transversal skills is required to anticipate future breakthroughs and technological possibilitiesThe new methods of education focuses on ethics, values, problem-solving, and daily activities. Students’ learning material, how they might achieve critical abilities, and their educational changes must be addressed in the future. In this environment, colleges must create new digital skills in IA, machine learning, IoT, 5G, the cloud, big data, blockchain, data analysis, using MS Office and other applications, MOOCs, simulation applications, VR/AR, and gamification. They must also develop cross-disciplinary skills and a long-term mindset. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.",artificial intelligence (AI); higher education institutions (HEI); transversal skills,Belgrade; Romania; Serbia; Serbia; artificial intelligence; higher education; knowledge; learning; perception; student; teaching,MDPI,English,Article,Final,All Open Access; Gold Open Access,Scopus,NO,,,,,,,,,,
Brons A.; de Schipper A.; Mironcika S.; Toussaint H.; Schouten B.; Bakkes S.; Kröse B.,"Brons, Annette (57201982731); de Schipper, Antoine (57198421538); Mironcika, Svetlana (57189042989); Toussaint, Huub (7005429858); Schouten, Ben (16203858800); Bakkes, Sander (22333308100); Kröse, Ben (7004886067)",57201982731; 57198421538; 57189042989; 7005429858; 16203858800; 22333308100; 7004886067,Assessing children's fine motor skills with sensor-augmented toys: Machine learning approach,2021,Journal of Medical Internet Research,23,4,e24237,,,,3,10.2196/24237,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105423486&doi=10.2196%2f24237&partnerID=40&md5=397cb44c8d19ca655b547ba998cdc17d,"Background: Approximately 5%-10% of elementary school children show delayed development of fine motor skills. To address these problems, detection is required. Current assessment tools are time-consuming, require a trained supervisor, and are not motivating for children. Sensor-augmented toys and machine learning have been presented as possible solutions to address this problem. Objective: This study examines whether sensor-augmented toys can be used to assess children's fine motor skills. The objectives were to (1) predict the outcome of the fine motor skill part of the Movement Assessment Battery for Children Second Edition (fine MABC-2) and (2) study the influence of the classification model, game, type of data, and level of difficulty of the game on the prediction. Methods: Children in elementary school (n=95, age 7.8 [SD 0.7] years) performed the fine MABC-2 and played 2 games with a sensor-augmented toy called “Futuro Cube.” The game “roadrunner” focused on speed while the game “maze” focused on precision. Each game had several levels of difficulty. While playing, both sensor and game data were collected. Four supervised machine learning classifiers were trained with these data to predict the fine MABC-2 outcome: k-nearest neighbor (KNN), logistic regression (LR), decision tree (DT), and support vector machine (SVM). First, we compared the performances of the games and classifiers. Subsequently, we compared the levels of difficulty and types of data for the classifier and game that performed best on accuracy and F1 score. For all statistical tests, we used α=.05. Results: The highest achieved mean accuracy (0.76) was achieved with the DT classifier that was trained on both sensor and game data obtained from playing the easiest and the hardest level of the roadrunner game. Significant differences in performance were found in the accuracy scores between data obtained from the roadrunner and maze games (DT, P=.03; KNN, P=.01; LR, P=.02; SVM, P=.04). No significant differences in performance were found in the accuracy scores between the best performing classifier and the other 3 classifiers for both the roadrunner game (DT vs KNN, P=.42; DT vs LR, P=.35; DT vs SVM, P=.08) and the maze game (DT vs KNN, P=.15; DT vs LR, P=.62; DT vs SVM, P=.26). The accuracy of only the best performing level of difficulty (combination of the easiest and hardest level) achieved with the DT classifier trained with sensor and game data obtained from the roadrunner game was significantly better than the combination of the easiest and middle level (P=.046). Conclusions: The results of our study show that sensor-augmented toys can efficiently predict the fine MABC-2 scores for children in elementary school. Selecting the game type (focusing on speed or precision) and data type (sensor or game data) is more important for determining the performance than selecting the machine learning classifier or level of difficulty. © Annette Brons, Antoine de Schipper, Svetlana Mironcika, Huub Toussaint, Ben Schouten, Sander Bakkes, Ben Kröse. Originally published in the Journal of Medical Internet Research (https://www.jmir.org), 22.04.2021. This is an open-access article distributed under the terms of the Creative Commons Attribution License (https://creativecommons.org/licenses/by/4.0/), which permits unrestricted use, distribution, and reproduction in any medium, provided the original work, first published in the Journal of Medical Internet Research, is properly cited. The complete bibliographic information, a link to the original publication on http://www.jmir.org/, as well as this copyright and license information must be included.",Children; Fine motor function; Game; Gamification; Machine learning; Motor development; Motor function; Motor skill assessment; Motor skills; Movement ABC (MABC); Movement assessment; Playful; Toys,Child; Humans; Logistic Models; Machine Learning; Motor Skills; Support Vector Machine; Article; child; classification; classifier; clinical article; controlled study; decision tree; developmental delay; diagnostic accuracy; diagnostic test accuracy study; elementary student; female; fine motor skill; game; human; k nearest neighbor; logistic regression analysis; male; maze test; motor development; motor function test; motor performance; Movement Assessment Battery for Children; play; school child; supervised machine learning; support vector machine; velocity; machine learning; statistical model,JMIR Publications Inc.,English,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,YES,,"prediksi sensor perilaku dari fine MABC-2, serta penerapan model klasifikasi terhadap tipe data, tipe permainan, dan tingkat kesulitan dari sensor perilaku fine MABC-2",,,,,,,,
Nisansala P.; Morawaka A.,"Nisansala, Piumi (56339864000); Morawaka, Achini (57216635522)",56339864000; 57216635522,ATHWEL: Gamification Supportive Tool for Special Educational Centers in Sri Lanka,2019,"2019 IEEE 14th International Conference on Industrial and Information Systems: Engineering for Innovations for Industry 4.0, ICIIS 2019 - Proceedings",,,9063274,446,451,5,1,10.1109/ICIIS47346.2019.9063274,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084146755&doi=10.1109%2fICIIS47346.2019.9063274&partnerID=40&md5=21c7d7f16553a2e6b394d321e251672a,"Learning Disability is a neurologically-based problem which involves in learning basic skills such as reading, writing and math. Intellectual Disability is characterized by below-average intelligence. Children with Intellectual Disability can do and learn new skills, but they learn them more slowly than average children of their age. Game-based learning is an effective way of getting learners actively involved in educational activities. Educating children with Intellectual Disability is a challenging process. They usually learn and progress more slowly than average children. Such children may have issues with motivation and interest in education; the use of Gamification approach becomes important as a motivational and interested affordance. A prototype desktop Gamification Supportive Tool called 'ATHWELA' is proposed which operates through Assistive Technology. Assistive technology can be a device or a service that is used to increase, maintain, or improve functional capabilities of individuals with disabilities. Children with Intellectual Disability can be less interested in Mathematics, some can be not good in reading and some can be not good in writing. ATHWELA is targeting at increasing, maintaining, or improving these three points and ATHWELA can be used in special education classrooms as a tool of gratification and extrinsic motivation. Points and rewards will be presented as the motivational technique. The main objective of our research is to help children with Intellectual Disability with their primary educational skills with less effort and in an interactive way and this prototype desktop application is developed in the Sinhala language because the Sinhala is the mother-tongue of Sri Lanka. In addition, it has used Machine Learning and Image Processing techniques to improve the educational skills of children with Intellectual Disability. © 2019 IEEE.",Assistive Technology; Gamification environment; Intellectual Disability; Neural Network; Reinforcement Learning; Special Education,Gamification; Information systems; Information use; Motivation; Software prototyping; Assistive technology; Desktop applications; Educational activities; Extrinsic motivation; Functional capabilities; Image processing technique; Intellectual disability; Learning disabilities; Image enhancement,Institute of Electrical and Electronics Engineers Inc.,English,Conference paper,Final,,Scopus,YES,,tidak dijelaskan,,,,,,,,
Putze F.; Küster D.; Urban T.; Zastrow A.; Kampen M.,"Putze, Felix (22036416700); Küster, Dennis (15064259400); Urban, Timo (57220055588); Zastrow, Alexander (57220046354); Kampen, Marvin (57220055117)",22036416700; 15064259400; 57220055588; 57220046354; 57220055117,Attention Sensing through Multimodal User Modeling in an Augmented Reality Guessing Game,2020,ICMI 2020 - Proceedings of the 2020 International Conference on Multimodal Interaction,,,,33,40,7,3,10.1145/3382507.3418865,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096675360&doi=10.1145%2f3382507.3418865&partnerID=40&md5=b31fbf3ac59f0288b7cb189846204695,"We developed an attention-sensitive system that is capable of playing the children's guessing game ""I spy with my litte eye""with a human user. In this game, the user selects an object from a given scene and provides the system with a single-sentence clue about it. For each trial, the system tries to guess the target object. Our approach combines top-down and bottom-up machine learning for object and color detection, automatic speech recognition, natural language processing, a semantic database, eye tracking, and augmented reality. Our evaluation demonstrates performance significantly above chance level, and results for most of the individual machine learning components are encouraging. Participants reported very high levels of satisfaction and curiosity about the system. The collected data shows that our guessing game generates a complex and rich data set. We discuss the capabilities and challenges of our system and its components with respect to multimodal attention sensing.  © 2020 ACM.",attention; augmented reality; gamification; top-down and bottom-up modeling,Augmented reality; Eye tracking; Interactive computer systems; Machine learning; Natural language processing systems; Object detection; Semantics; Speech recognition; Automatic speech recognition; Color detection; Multi-modal; NAtural language processing; Semantic database; Sensitive systems; Target object; User Modeling; Object tracking,"Association for Computing Machinery, Inc",English,Conference paper,Final,,Scopus,YES,,,,,,,,,,
Vipin N.; Morris S.; Chithra A.V.; Alexander R.; Arunprakash N.V.S.; Ganesh Pillai M.,"Vipin, N. (57222002466); Morris, Salma (57222008445); Chithra, A.V. (57499463800); Alexander, Robin (57222002421); Arunprakash, N.V.S. (58163887200); Ganesh Pillai, M. (57222009523)",57222002466; 57222008445; 57499463800; 57222002421; 58163887200; 57222009523,Automated knowledge centre with machine learning approach,2020,"Proceedings of the International Astronautical Congress, IAC",2020-October,,,,,,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100923524&partnerID=40&md5=ef62686117eb853577e994f506ad9621,"Space Industry is highly technology driven and usually  faces critical need while investing in knowledge management solutions. Information are often available in unstructured manner, such as in cluttered inboxes, unorganized repositories and the brains of coworkers. This consumes significant amount of time in gathering and retrieval of useful information. An automated knowledge center with machine learning approach was conceived to address and mitigate this problem. The knowledge of interest is classified into explicit and tacit and can be captured using new era technologies. The vast amount of data can be pooled in a central repository and classified using machine learning. Social networking elements, gamification, activity logger etc. can be used for collecting additional information. The information gathered by these means can be utilized for cognitive decision making. The core benefit expected is that the intellectual capital of the organization is shared, preserved and institutionalized. © 2020 by DLR-SART.",Knowledge center; Machine learning,Aerospace industry; Decision making; Knowledge management; Cognitive decision makings; Era technologies; Inboxes; Intellectual capital; Machine learning approaches; Space industry; Machine learning,"International Astronautical Federation, IAF",English,Conference paper,Final,,Scopus,YES,,,,,,,,,,
Zhang B.; Li X.,"Zhang, Boyang (57207821297); Li, Xiaozhou (56203689000)",57207821297; 56203689000,Bibliography-based social network analysis and geo-location map of gamification,2020,"Proceedings of the 14th International Conference on Game Based Learning, ECGBL 2020",,,,684,692,8,0,10.34190/GBL.20.138,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097781169&doi=10.34190%2fGBL.20.138&partnerID=40&md5=0c2d2a0d17b9c77cd6bdc5d155884e9f,"The identification of novel scientific collaborators is vitally significant in the growth of academia. The services of Social Network Analysis (SNA) support the recognition of potential collaborators to cultivate novel academic collaborations. This research provides bibliography-based social network analysis in the domain of Gamification. And real-world geographic map is provided to visualize the geolocation locations of academic collaborations. The purpose of this research is to explore the collaboration networks in academic publications from Scopus database. Social Network Analysis is used in this research to de-compose the academic network for advancing world-wide cooperation in gamification. Eight major communities are detected within the academic network. Additionally, the summary of the publication keywords towards the target communities illustrate different research interests of communities. © ECGBL 2020.All right reserved.",Gamification; Geo-location; Machine Learning; Social Network Analysis,Bibliographies; Academic publications; Collaboration network; Geographic maps; Geolocations; Potential collaborators; Real-world; Research interests; Scopus database; Gamification,Academic Conferences International ,English,Conference paper,Final,,Scopus,YES,,"tidak digunakan, namun diterapkan dalam mengetahui kolaborasi akademik dalam bidang gamifikasi",,,,,,,,
Balducci F.; Buono P.,"Balducci, Fabrizio (57062552400); Buono, Paolo (13006302400)",57062552400; 13006302400,Building a qualified annotation dataset for skin lesion analysis trough gamification,2018,Proceedings of the Workshop on Advanced Visual Interfaces AVI,,,a36,,,,6,10.1145/3206505.3206555,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048873504&doi=10.1145%2f3206505.3206555&partnerID=40&md5=8bd86469e80417a3ee8bf9695f33aa4d,"The deep learning approach has increased the quality of automatic medical diagnoses at the cost of building qualified datasets to train and test such supervised machine learning methods. Image annotation is one of the main activity of dermatologists and the quality of annotation depends on the physician experience and on the number of studied cases: manual annotations are very useful to extract features like contours, intersections and shapes that can be used in the processes of lesion segmentation and classification made by automatic agents. This paper proposes the design of an interactive multimedia platform that enhance the annotation process of medical images, in the domain of dermatology, adopting gamification and “games with a purpose” (GWAP) strategies in order to improve the engagement and the production of qualified datasets also fostering their sharing and practical evaluation. A special attention is given to the design choices, theories and assumptions as well as the implementation and technological details. © 2018 Association for Computing Machinery.",Annotation; Dermatology; Gamification; GWAP; Machine learning,Artificial intelligence; Deep learning; Diagnosis; Image enhancement; Image retrieval; Image segmentation; Interactive computer systems; Learning systems; Medical imaging; Multimedia systems; Supervised learning; Annotation; Games with a purpose; Gamification; GWAP; Interactive multimedia; Lesion segmentations; Manual annotation; Supervised machine learning; Dermatology,Association for Computing Machinery,English,Conference paper,Final,,Scopus,YES,,penerapan gamifikasi terhadap proses anotasi data gambar medis,,,,,,,,
Hernandez J.; Muratet M.; Pierotti M.; Carron T.,"Hernandez, Jérôme (57364210900); Muratet, Mathieu (36806745400); Pierotti, Matthis (57364469400); Carron, Thibault (14631830600)",57364210900; 36806745400; 57364469400; 14631830600,Can We Detect Non-playable Characters' Personalities Using Machine and Deep Learning Approaches?,2022,Proceedings of the European Conference on Games-based Learning,2022-October,,,271,279,8,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141193262&partnerID=40&md5=e545fb5ddebc472f0bf75223c4956eb7,"Personality recognition and computational psychometrics data have become prevalent in personnel selection processes. Such assessment tools are adequate for human resources seeking tools to assess a large volume of diverse player personalities in the current ""war of talents."" Recently, studies about using Gamified situational judgment test approaches have shown positive results in assessing players' behavior and personality. Gamified situational judgment tests combine the advantages of gamification, such as enhancing players' reactions and flow state, with the acknowledged traditional situational judgment test approach. To gamify a situational judgment test, an innovative approach using the visual novel game genre has shown positive results in the gamification by adding game elements such as narrative scripts, non-player characters, dialogs, and audiovisual assets to the test. Indeed, these elements play an essential role in the validity of the players' personality results by using a stealth-assessment method to minimize social bias and player's stress. However, to our knowledge, as gamification in personality detection is still recent, little is known on the possible positive outcomes of designing game elements such as the dialogues and non-player character personalities in the validity of the team cohesion measure. To this end, we propose an empirical study to build personality trait models based on non-players characters' speeches. We used the Myers-Briggs Type Indicator based on four dichotomies to classify the personalities as one of companies and organizations' most used personality typology. For each of the four dimensions, we train twenty-four separate binary classifiers and one 16-class classifier, using well-established machine learning and a convolutional neural network in the domain of natural language processing, text analytics, and computational psychometrics. The results of this study show that it is possible to recognize non-playable characters' personalities and thus can help game designers to understand their characters' personalities using natural language processing. © 2022 Dechema e.V.. All rights reserved.",Machine Learning; Natural Language Processing; Personality Recognition; Visual Novel Game,Convolution; Convolutional neural networks; Deep neural networks; Testing; Visual languages; Game elements; Gamification; Language processing; Learning approach; Machine-learning; Natural language processing; Natural languages; Non-player character; Personality recognition; Visual novel game; Learning algorithms,Dechema e.V.,English,Conference paper,Final,,Scopus,YES,Classification,"tidak disebutkan mengenai bagian dari gamifikasi, tapi bertujuan memprediksi karakteristik dan trait dari non-player character",,,,,,,,
Taki R.; Bahar R.R.; Kocak A.E.; Yalcin S.,"Taki, Rana (57208161625); Bahar, Ralfi R. (57566137000); Kocak, Andy E. (58037083400); Yalcin, Sedat (57208167393)",57208161625; 57566137000; 58037083400; 57208167393,Caregiver: An Application for the First Step in Alzheimer’s Disease Early Diagnosis,2022,Communications in Computer and Information Science,1580 CCIS,,,620,627,7,0,10.1007/978-3-031-06417-3_83,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145164135&doi=10.1007%2f978-3-031-06417-3_83&partnerID=40&md5=4fbde09b311b5a7b4dd688f185f427ae,"Alzheimer’s Disease (AD) is an invasive neurodegenerative disorder that has no cure. The treatment of AD is based on drugs, which must be administered in the early stages of the development of the disease. Therefore, early diagnosis of the disease is of great significance for the efficiency of the treatment. AD is currently diagnosed by the provision of a professional, conducting medical tests, which is not easily accessible. In this paper, we introduce Caregiver, an application that takes initiative by administering Clock Drawing Test (CDT) on mobile devices and facilitates administration of the test in a fun and simple digital environment. Caregiver gives suggestions to its users to seek professional help for treatment of AD based on the score they get from computer feedback on the clock drawings. Conducting the CDT step by step through gamification, Caregiver provides essential healthcare to people that don’t have access to medical faculties. Saving its users data, Caregiver also provides an insight on the progression of the cognitive impairment if present. Its user-friendly interface enables its users to actively interact with the application and obtain more accurate results than conducting the test by themselves. Caregiver evaluates visual inputs of the test using a weighted combination of two different classification models, which decreases the total time to conduct the test, hence providing early diagnosis. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2022.",Accessibility; Alzheimer’s disease; Artificial intelligence; Clock-drawing test; Early diagnosis; Human centered computing; Human computer interaction; Machine learning; Mobile application,Clocks; Diagnosis; Digital devices; Human computer interaction; mHealth; Neurodegenerative diseases; Accessibility; Alzheimer; Alzheimer’s disease; Clock-drawing test; Early diagnosis; Human-centered computing; Machine-learning; Mobile applications; Neurodegenerative disorders; Simple++; Machine learning,Springer Science and Business Media Deutschland GmbH,English,Conference paper,Final,,Scopus,YES,Classification,"evaluasi skor dari hasil input penerapan CDT, lalu menentukan saran untuk perawatan lebih lanjut terkait Alzheimer Disease berdasarkan skor yang diperoleh",,,,,,,,
Chytas A.; Fotopoulos D.; Kilintzis V.; Koutsiana E.; Ladakis I.; Kiana E.; Loizidis T.; Chouvarda I.,"Chytas, A. (36605903200); Fotopoulos, D. (57202847140); Kilintzis, V. (24722814200); Koutsiana, E. (57196187064); Ladakis, I. (57221763830); Kiana, E. (57222720467); Loizidis, T. (57202851399); Chouvarda, I. (6603613668)",36605903200; 57202847140; 24722814200; 57196187064; 57221763830; 57222720467; 57202851399; 6603613668,Characterization of upper limb functionality caused by neuromuscular disorders using novel motion features from a specialized gaming platform,2021,"BIOSIGNALS 2021 - 14th International Conference on Bio-Inspired Systems and Signal Processing; Part of the 14th International Joint Conference on Biomedical Engineering Systems and Technologies, BIOSTEC 2021",,,,60,68,8,2,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103826816&partnerID=40&md5=5ab7718f2a0cf9b3efff1aba624d9b8e,"This paper describes the methodology for analyzing upper limb motion data derived from a novel Gamified Motion Control Assessment platform that is based on a virtual 3D game environment. The gamified approach targets patients experiencing upper-limb movement hindrances, typically caused by neuromuscular disorders. The leap motion controller is used for interaction. The game guides the avatar to move along the X and Y axis following specific paths. The avatar mimics the movement of the user's hand that performs these movements for rehabilitation. In order to use this method for the training and assessment patient’s motion, a quantified approach that uses the game-based motion for patient assessment is required. Besides simple game scores that are often used, the proposed data analysis aims to elaborate on the discrimination between pathological and healthy movement with a machine learning approach, as well as the quantification of the patient’s progress over time. For this purpose, movement and performance-related features were extracted from the leap sensor recordings and their value was explored towards characterizing the patient state and progress in detail. A dataset with multiple recordings from patients and healthy individuals was used for this purpose. All patients suffered from neuromuscular disorders. The features with the highest discriminatory value between the two groups were subsequently used to develop a set of classifiers for different sets of movements (e.g., horizontal, diagonal, vertical). A patient was left out of the classifier creation procedure and used for external validation. The models achieved high accuracy (92.13%). These results are deemed promising for the quantification of a patient’s progress. Copyright © 2021 by SCITEPRESS – Science and Technology Publications, Lda. All rights reserved",Classification; Gamification; Neuromuscular Disorder; Rehabilitation; Signal-analysis; Upper-limb Motion,Biomedical engineering; Biomimetics; Gamification; Joints (anatomy); Motion control; Turing machines; Healthy individuals; High-accuracy; Machine learning approaches; Motion controller; Motion features; Multiple recordings; Neuromuscular disorders; Upper limb motion; Signal processing,SciTePress,English,Conference paper,Final,,Scopus,YES,Classification,data perilaku gerakan pada gamifikasi digunakan untuk mengukur status dan progres dari perawatan ,,,,,,,,
Piekarczyk M.; Bar O.; Bibrzycki Ł.; Niedźwiecki M.; Rzecki K.; Stuglik S.; Andersen T.; Budnev N.M.; Alvarez-Castillo D.E.; Cheminant K.A.; Góra D.; Gupta A.C.; Hnatyk B.; Homola P.; Kamiński R.; Kasztelan M.; Knap M.; Kovács P.; Łozowski B.; Miszczyk J.; Mozgova A.; Nazari V.; Pawlik M.; Rosas M.; Sushchov O.; Smelcerz K.; Smolek K.; Stasielak J.; Wibig T.; Woźniak K.W.; Zamora-Saa J.,"Piekarczyk, Marcin (36081129300); Bar, Olaf (57225969152); Bibrzycki, Łukasz (8404107200); Niedźwiecki, Michał (57204499733); Rzecki, Krzysztof (55052384900); Stuglik, Sławomir (57219696186); Andersen, Thomas (34167459300); Budnev, Nikolay M. (6603881292); Alvarez-Castillo, David E. (16743688000); Cheminant, Kévin Almeida (57204313519); Góra, Dariusz (10538849800); Gupta, Alok C. (57203811686); Hnatyk, Bohdan (7801346859); Homola, Piotr (10539177100); Kamiński, Robert (7006988142); Kasztelan, Marcin (10539234800); Knap, Marek (57219948315); Kovács, Péter (57214026563); Łozowski, Bartosz (55798780300); Miszczyk, Justyna (56491261100); Mozgova, Alona (57217105774); Nazari, Vahab (56289855700); Pawlik, Maciej (55055652500); Rosas, Matías (57219945999); Sushchov, Oleksandr (55543272900); Smelcerz, Katarzyna (55998927500); Smolek, Karel (35227998400); Stasielak, Jarosław (15832802800); Wibig, Tadeusz (56038836400); Woźniak, Krzysztof W. (58381986200); Zamora-Saa, Jilberto (56135260600)",36081129300; 57225969152; 8404107200; 57204499733; 55052384900; 57219696186; 34167459300; 6603881292; 16743688000; 57204313519; 10538849800; 57203811686; 7801346859; 10539177100; 7006988142; 10539234800; 57219948315; 57214026563; 55798780300; 56491261100; 57217105774; 56289855700; 55055652500; 57219945999; 55543272900; 55998927500; 35227998400; 15832802800; 56038836400; 58381986200; 56135260600,CNN-Based Classifier as an Offline Trigger for the CREDO Experiment,2021,Sensors,21,14,4804,,,,9,10.3390/s21144804,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110012338&doi=10.3390%2fs21144804&partnerID=40&md5=543533453ac0e083b0c8cab96ea651cc,"Gamification is known to enhance users’ participation in education and research projects that follow the citizen science paradigm. The Cosmic Ray Extremely Distributed Observatory (CREDO) experiment is designed for the large-scale study of various radiation forms that contin-uously reach the Earth from space, collectively known as cosmic rays. The CREDO Detector app relies on a network of involved users and is now working worldwide across phones and other CMOS sensor-equipped devices. To broaden the user base and activate current users, CREDO extensively uses the gamification solutions like the periodical Particle Hunters Competition. However, the adverse effect of gamification is that the number of artefacts, i.e., signals unrelated to cosmic ray detection or openly related to cheating, substantially increases. To tag the artefacts appearing in the CREDO database we propose the method based on machine learning. The approach involves training the Convolutional Neural Network (CNN) to recognise the morphological difference between signals and artefacts. As a result we obtain the CNN-based trigger which is able to mimic the signal vs. artefact assignments of human annotators as closely as possible. To enhance the method, the input image signal is adaptively thresholded and then transformed using Daubechies wavelets. In this exploratory study, we use wavelet transforms to amplify distinctive image features. As a result, we obtain a very good recognition ratio of almost 99% for both signal and artefacts. The proposed solution allows eliminating the manual supervision of the competition process. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",Citizen science; Convolutional neural networks; CREDO; Deep learning; Gamification; Global sensor network; Image classification; Image sensors,"Artifacts; Humans; Image Processing, Computer-Assisted; Machine Learning; Neural Networks, Computer; Wavelet Analysis; Convolutional neural networks; Cosmic ray detectors; Cosmic rays; Discrete wavelet transforms; Earth (planet); Gamification; Image enhancement; Adverse effect; Citizen science; Competition process; Daubechies Wavelet; Education and researches; Exploratory studies; Large-scale studies; Recognition ratio; artifact; human; image processing; machine learning; wavelet analysis; Cosmology",MDPI,English,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,YES,Classification,untuk memprediksi hasil sinyal yang sesuai dan tidak sesuai dengan cosmic ray yang diberikan oleh user pada sistem gamifikasi CREDO,,,,,,,,
