No.,Title,Abstracts
11,"Biochar application for greenhouse gas mitigation, contaminants immobilization and soil fertility enhancement: A state-of-the-art review","Rising global temperature, pollution load, and energy crises are serious problems, recently facing the world. Scientists around the world are ambitious to find eco-friendly and cost-effective routes for resolving these problems. Biochar has emerged as an agent for environmental remediation and has proven to be the effective sorbent to inorganic and organic pollutants in water and soil. Endowed with unique attributes such as porous structure, larger specific surface area (SSA), abundant surface functional groups, better cation exchange capacity (CEC), strong adsorption capacity, high environmental stability, embedded minerals, and micronutrients, biochar is presented as a promising material for environmental management, reduction in greenhouse gases (GHGs) emissions, soil management, and soil fertility enhancement. Therefore, the current review covers the influence of key factors (pyrolysis temperature, retention time, gas flow rate, and reactor design) on the production yield and property of biochar. Furthermore, this review emphasizes the diverse application of biochar such as waste management, construction material, adsorptive removal of petroleum and oil from aqueous media, immobilization of contaminants, carbon sequestration, and their role in climate change mitigation, soil conditioner, along with opportunities and challenges. Finally, this review discusses the evaluation of biochar standardization by different international agencies and their economic perspective."
12,Life-cycle assessment of two sewage sludge-to-energy systems based on different sewage sludge characteristics: Energy balance and greenhouse gas-emission footprint analysis,"Anaerobic digestion and incineration are widely used sewage sludge (SS) treatment and disposal approaches to recovering energy from SS, but it is difficult to select a suitable technical process from the various technologies. In this study, life-cycle assessments were adopted to compare the energy- and greenhouse gas- (GHG) emission footprints of two sludge-to-energy systems. One system uses a combination of AD with incineration (the AI system), whereas the other was simplified by direct incineration (the DI system). Comparison between three SS feedstocks (VS/TS: 57.61 -73.1 ds.%) revealed that the AI system consistently outperformed the DI system. The results of sensitivity analyses showed that the energy and GHG emission performances were mainly affected by VS content of the SS, AD conversion efficiency, and the energy consumption of sludge drying. Furthermore, the energy and GHG emission credit of the two systems increased remarkably with the increase in the VS content of the SS. For the high-organic-content sludge (VS/TS: 55%–80%), the energy and GHG emission credit of the AI system increase with the increase of AD conversion efficiency. However, for the low organic content sludge (VS/TS: 30%–55%), it has the opposite effect. In terms of energy efficiency and GHG performance, the AI system is a good choice for the treatment of high-organic-content sludge (VS/TS>55%), but DI shows superiority over AI when dealing with low organic content sludge (VS/TS<55%)."
13,The influence of political ideology on greenhouse gas emissions,"This research tests the casual link from political ideology to national greenhouse gas emissions by utilizing multinational panel data covering 98 countries during the period 1990–2016. Overall, the baseline results and robustness tests show a political divide on national greenhouse gas emissions, whereby compared to right-wing governments, left-wing governments are more likely to exhibit less carbon dioxide emissions. We further explore this topic from the perspectives of energy efficiency and education. Three-stage OLS regressions suggest that leftist parties increase energy efficiency and spend more on secondary education, which lead to less greenhouse gas emissions. We also introduce the interaction between political ideology and economic performance as well as globalization to test the moderating effects of economic performance and globalization. The study further looks into the interaction effects of political ideology and democracies on greenhouse gas emissions by dividing the whole sample into two sub-samples. The results indicate that the ideology effect on greenhouse gas emissions varies among countries with different economic performances or different degrees of political globalization, as well as between democracies and non-democracies."
14,"Trajectory, driving forces, and mitigation potential of energy-related greenhouse gas (GHG) emissions in China's primary aluminum industry","As the world's largest primary aluminum producer, China's primary aluminum industry (PAI) faces a huge challenge in reducing greenhouse gas (GHG) emissions. However, detailed research on presenting the historical trajectory of GHG emissions from China's PAI and identifying the main driving factors affecting its changes has not been completed thus far. This study quantifies the GHG emission trajectory of China's PAI from 1990 to 2018 and identifies the key driving factors affecting its changes. The results show that the total GHG emissions from China's PAI from 1990 to 2018 increased by approximately 18 times, reaching 481 Tg CO2-eq in 2018, of which 69 %, 17 %, and 14 % were electricity-related, fuel-related, and process-related, respectively. Additionally, the production activity effect is the main factor driving the increase in GHG emissions; however, the energy intensity and energy emission factor effects can effectively reduce GHG emissions. Based on this, scenario analysis is used to evaluate the GHG emission mitigation potential of China's PAI by 2030. According to our analysis, policy suggestions for mitigating the GHG emissions in China's PAI are proposed, including reducing the energy intensity, promoting clean energy use, controlling the production capacity, and decarbonizing electricity."
15,Analysis of agricultural greenhouse gas emissions using the STIRPAT model: a case study of Bangladesh,"The agriculture sector is one of the leading emitters of greenhouse gases in Bangladesh, owing to increasing mechanization, changing population patterns and increasing cultivation of irrigation intensive crops like rice. The objective of this research is to analyze how population trends, energy use and land use practices impact the emissions of three greenhouse gases from the agriculture sector in Bangladesh. The gases studied are carbon dioxide, methane and nitrous oxide. The Stochastic Impacts by Regression on Population, Affluence, and Technology (STIRPAT) model and ridge regression are used to analyze the drivers of emissions covering the period from 1990 to 2014. Explanatory factors of emissions are the total and rural population, affluence, urbanization, fertilizer intensity and quantity, carbon and energy intensity, irrigation, rice cultivation, cultivated land and crop yield. The findings reveal that the country’s total population has a negative effect, and the rural population has a negative, nonlinear impact on the emissions of methane. Affluence affects emissions of all the gases. The energy intensity and carbon intensity of agriculture increase carbon dioxide emissions. The cultivated land area, rice cultivation quantity and crop yield increase methane emissions, while irrigated land area decreases it. Rural population, total population and urbanization have a positive linear effect on carbon dioxide and nitrous oxide emissions. Fertilizer quantity and intensity increase nitrous oxide emissions. The findings imply that increasing agricultural mechanization should be based on clean energy, and land management should be regulated to enable the country to meet its Nationally Determined Contribution (NDC) targets as well as the targets of Sustainable Development Goal (SDG) 7 of increasing the share of clean energy."
16,Impact of plant-based meat alternatives on cattle inventories and greenhouse gas emissions,"New plant-based meat (PBM) alternatives that aim to mimic the taste and texture of beef could have significant economic, environmental, and animal welfare impacts if they replace traditional animal-based meats and reduce livestock production. Whether PBM alternatives can achieve these ends depends on the extent to which consumers are willing to substitute for PBM alternatives, the structure of the meat industry, and the inter-linkages of the livestock industry with the other parts of the economy. We construct and calibrate an economic model to estimate how a reduction in PBM prices, or increase in demand for PBM, in the United States affects cattle production. For every 10% reduction in price or increase in demand for PBM, we estimate U.S. cattle production falls approximately 0.15%, U.S. cattle producers' economic welfare falls by $300 million year−1, and U.S. consumer welfare rises by $513 million year−1. Key variables affecting model outcomes include the supply elasticity of cattle, the share of the total cost of cattle used to produce ground beef, and cross price-elasticity of demand between PBM and ground beef. Increases in U.S. demand for PBM alter trade patterns, leading to a reduction of beef imports and an increase in beef exports, a phenomenon that further reduces global greenhouse gas emissions and land use given the relative efficiency of U.S. beef production. For every 10% reduction in the price of PBM alternatives, we estimate that the global reduction in emissions is equivalent to 0.34% of U.S. emissions from beef production and 1.14% when including reduced land-use change emissions. Even substantial reductions in prices of PBM alternatives are unlikely to have substantive impacts on the U.S. cattle population and emissions, suggesting the need to also pursue alternative mitigation strategies, such as innovations to reduce the methane emissions per head."
17,Statistical analysis of greenhouse gas emissions of South Korean residential buildings,"This study analyzed the status of greenhouse gas (GHG) emissions of residential buildings in South Korea from 2015 to 2019, based on energy consumption data for all residential buildings in the country from the Korea National Building Energy Database. The analysis revealed that new residential buildings had a lower GHG emission intensity than old residential buildings and that strengthening the Building Energy Conservation Code (BECC) contributes to the reduction of GHG emissions from heating energy use in residential buildings. The GHG emission intensity for heating energy use of apartments to which the latest standard (0.21 W/m2·K U-value of exterior walls) was applied was 35.8% lower than that of apartments to which the insulation standard was not applied. However, despite the strengthening of the BECC, the GHG emission intensity for baseload and cooling energy use of apartments increased. This means that the BECC does not contribute to reducing GHG emissions from baseload and cooling energy use. Moreover, as the number of residential buildings continues to increase, their consolidated GHG emissions also increase. Since heating energy consumption is significantly influenced by the weather, GHG emissions from heating energy use can vary depending on the weather. For instance, GHG emissions from heating energy use can increase in extremely cold winter despite the strengthening of the BECC. Therefore, a policy is needed for strengthening the BECC as well as for enhancing building occupants' understanding of GHG emissions reduction in buildings and for promoting the occupants’ behavior change."
18,"This study analyzed the status of greenhouse gas (GHG) emissions of residential buildings in South Korea from 2015 to 2019, based on energy consumption data for all residential buildings in the country from the Korea National Building Energy Database. The analysis revealed that new residential buildings had a lower GHG emission intensity than old residential buildings and that strengthening the Building Energy Conservation Code (BECC) contributes to the reduction of GHG emissions from heating energy use in residential buildings. The GHG emission intensity for heating energy use of apartments to which the latest standard (0.21 W/m2·K U-value of exterior walls) was applied was 35.8% lower than that of apartments to which the insulation standard was not applied. However, despite the strengthening of the BECC, the GHG emission intensity for baseload and cooling energy use of apartments increased. This means that the BECC does not contribute to reducing GHG emissions from baseload and cooling energy use. Moreover, as the number of residential buildings continues to increase, their consolidated GHG emissions also increase. Since heating energy consumption is significantly influenced by the weather, GHG emissions from heating energy use can vary depending on the weather. For instance, GHG emissions from heating energy use can increase in extremely cold winter despite the strengthening of the BECC. Therefore, a policy is needed for strengthening the BECC as well as for enhancing building occupants' understanding of GHG emissions reduction in buildings and for promoting the occupants’ behavior change.","This study aims to investigate the nexus among waste generation, economic growth, and greenhouse gas (GHG) emissions in a circular economy framework for the case of Switzerland. Using two different empirical approaches (Dynamic Auto-Regressive Distributed Lags and Fuzzy Cognitive Maps), time-series results show that municipal waste and economic growth have both a short- and a long-run impact on GHG emissions. Moreover, causality analyses evidence the presence of a unidirectional causal flow running from municipal waste and economic growth to greenhouse gas emissions, while a bidirectional causality between municipal waste and economic growth. The results of the static analysis of the municipal solid waste cognitive map show that the most significant system variables relate to the domains of “policy drivers” (education and awareness campaigns and extended producer responsibility) and “environment and health” (GHG emissions). Findings of the policy scenario simulations reveal that the most effective drivers are those about the mission-oriented policy approach."
19,Response of eutrophication and water quality drivers on greenhouse gas emissions in lakes of China: A critical analysis,"Lakes, especially shallow lakes, contribute disproportionately to greenhouse gas (GHG; particularly CO2 and CH4) emissions and have received global attention due to their high potential to contribute to global warming and future climate change. Recent studies have identified eutrophication as a critical factor in GHG emissions. However, the role of lake trophic state index (TSI) and the impact of important water quality parameters (WQP) such as pH, Chl-a, total nitrogen, total phosphorus and organic carbon on GHG emissions are still a subject of debate and an area of intense research. To further understand the relationship between GHG and lake eutrophication, datasets (GHG and WQP) from the scientific literature have been compiled, and statistical analyses of these secondary data were performed to determine the influence of eutrophication on GHG emissions. In this review, GHG emissions from Chinese lakes are quantified, and the important factors affecting these emissions are analysed systematically. The statistical analysis reveals that chlorophyll a and carbon (as TOC) are the key factors of lake eutrophication and have a significant effect on the GHG potential (mainly CH4 fluxes). In addition, the proposed mitigation measures could serve as a guide for scientists and young researchers to reduce future climatic risks."
20,Effects and mechanisms of land-types conversion on greenhouse gas emissions in the Yellow River floodplain wetland,"The mechanism and extent of changes in greenhouse gas (GHG) emissions from seasonal river-floodplain wetlands subjected to land-type conversion are unknown. We monitored GHG fluxes and characterized soil microbial communities in four types of wetland (Riverside lower-beach wetland (RLW), Riverside higher-beach wetland (RHW), Cultivated wetland (CW), Mesophytic wetland (MW)) in the Yellow River flood land. Results revealed that land reclamation activities altered the distribution patterns of carbon (C) and nitrogen (N) in soil, as well as the structure and activities of microbial communities, leading to changes in the GHG emissions. Cumulative CO2 and N2O emissions were highest in CW, which were 2.10–10.71 times and 3.19–8.61 times greater than the other three wetlands, respectively, whereas cumulative CH4 emissions were highest in RLW (1850.192 mg·m−2). CW exhibited the highest 100-years-scale Global Warming Potential (GWP100-CO2-eq) (81.175 t CO2-eq·ha−1), which was 9.93, 3.12, and 2.11 times greater than RLW, RHW, and MW. Moreover, reclaiming riverside wetland as farmland will increase CO2 and N2O emission fluxes by 54.546–72.684 t·ha−1 and 2.615–2.988 kg·ha−1, respectively. 16S rRNA high throughput sequencing revealed that bacterial community composition changed significantly overtime and seasons. GHG fluxes showed a significant positive linear correlation with bacterial OTUs (y = 0.71x–319.4, R2 = 0.304) and Shannon index (y = 228.62x–796.6, R2 = 0.336). Structure equation models indicated that soil C, N and moisture content were the primary factors influencing bacterial community evolution, which had an impact on GHG fluxes. Actinomycetes were significantly affected by total carbon (TC) content, dissolved organic carbon (DOC), and C/N, while ammonia oxidizing and nitrifying bacteria were greatly influenced by NO3−-N rather than TN and NH4+-N content. Opportunities exist to reduce GHG emissions and mitigate climate change by maintaining the original state of riverside wetland or restoring cultivated land to wetland in the Yellow River floodplain wetland."
